,artist_name,track_name,track_id,popularity
106,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,81
107,BT,No Warning Lights (Mixed) - ALPHA 9 Remix,4AZM3eVkKsLJ0Oi0XdtWQI,40
108,The Kid LAROI,GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,81
109,Chilled Cat,Winter Night on New Years Eve,639pj50r7i2uFzZ4BJhk4y,29
110,Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,81
111,3LAU,Tokyo (Mixed) - Fatum Remix,2p5JsppxcUKlsVX6UkycAt,41
112,KAROL G,BICHOTA,7vrJn5hDSXRmdXoR30KgF1,93
113,Genix,Zuul (Mixed),07ygt0S6ZmrCkTkeryuZMo,41
114,MEDUZA,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,90
115,Alex Sonata & TheRio,Awakening (Mixed),6S7tShkCrPrXu8NfPzmWCZ,41
116,Kid Cudi,Tequila Shots,30KctD1WsHKTIYczXjip5a,80
117,Maryn,Dawn (Mixed),5PDi4cEm6L1fAadHXPcLNF,41
118,Taylor Swift,champagne problems,0sY6ZUTh4yoctD8VIXz339,82
119,Scorz,Come To Life (Mixed),4xZLHEwMJHI7EmTUaIfFYI,41
120,Ariana Grande,pov,3UoULw70kMsiVXxW0L3A33,83
121,Armin van Buuren,Tarzan (Mixed),68MN1r0IVeLRXi65i5laM7,41
122,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,82
123,Sleepy Fish,Backyard Puddles,3qM0FihhHgdzhIWAxavBJV,32
124,Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,81
125,Assaf,Lost Souls (Mixed) - AVIRA Remix,4uYyx2Vz7GKaSouXVTO33i,40
126,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,84
127,STANDERWICK,What About Us (Mixed),5KHiOrhY1VQJejYXVBAPCJ,40
128,Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,82
129,Armin van Buuren,A State Of Trance Year Mix 2020 (Mixed) - Intro: What Is Out There?,32EepqLfVjRC1oLMlPhiAA,36
130,Lil Durk,Still Trappin' (with King Von),43BlKpJcSrC9AsJ3F1DKg9,78
131,MaRLo,Say Hello (Mixed),1e2Moh5Z3gbHeVoE9hiNLf,40
132,Tiësto,The Business,6f3Slt0GbA2bPZlz0aIFXN,92
133,Armin van Buuren,In And Out Of Love (Mixed) - ilan Bluestone & Maor Levi Remix,4OOlVuBsYMUSB6W1uTVkH8,40
134,Kane Brown,Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,81
135,Hammock,EveryWhen - Bonus Track,3v4HyLyywyXEVoLZd73cV1,33
136,Noah Cyrus,July,6J2LdBN97cDWn0MLxYh9HB,82
137,ReOrder,After Tomorrow (Mixed),5HoChp62G52HrIb0LWoiQ3,39
138,Giveon,HEARTBREAK ANNIVERSARY,3FAJ6O0NOHQV8Mc5Ri6ENp,83
139,Andrew Rayel,Everything Everything (Mixed),3jyGg95jndX8h1ShL6ydaK,40
140,carolesdaughter,Violent,7CFfqRW50ffULvBv7lfIIg,82
141,Armin van Buuren,Mask (Mixed),1Q5SYfHwo8zzlYAHHYMX6U,40
142,SZA,Hit Different,7Bar1kLTmsRmH6FCKKMEyU,80
143,Armin van Buuren,Hollow (Mixed),6AegTL0xgC4hIIfoWFfYwY,39
144,Lil Baby,We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,79
145,Orjan Nilsen,Sankthansaften (Mixed),0YCmgRAZRjuuG58QfWozsQ,40
146,Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,82
147,Markus Schulz,Sunrise Over The Bay (Mixed),5tIBKsbfJoMaYmTvszbgS7,39
148,Morgan Wallen,Somebody’s Problem,0SErdEdRcVX1uJCf1eTGYH,77
149,Armin van Buuren,Need You Now (Mixed),6sEF9scI0D2LeEvuY0hGvR,38
150,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,83
151,Mark Sixma,Never Forgotten (Mixed),6FaYJGJprxFcEfgJWKX1S2,39
152,Conan Gray,Maniac,6KfoDhO4XUWSbnyKjNp9c4,84
153,Paul van Dyk,Covered In Gold (Mixed) - PvD Extended Club Mix,1QKGzdXiBhbJ1IjmZw7YXT,39
154,Jack Harlow,Way Out (feat. Big Sean),6rLi6PyWXu1rPlShuIZpj6,79
155,Rodg,Crossroads (Mixed),5jLjqxtK1M3HiXG6PnBj6M,39
156,Lil Baby,Errbody,6eVxH9Kyanzrw636zJRPcw,78
157,The Glitch Mob,Drive It Like You Stole It - 2020 Remaster,1h0LR3X6LD19canA3cHDCO,27
158,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
159,Taylor Torrence,If We Say Goodbye (Mixed),50F61Gbser6ucNbmCYaC9b,39
160,Sara Kays,Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,83
161,NWYR,Heart Eyes (Mixed),5yYQ0wqZ3LK63jyr60imkL,39
162,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,88
163,The Glitch Mob,A Dream Within A Dream - 2020 Remaster,2DW7QEmiAiumhYAQURtLAq,27
164,King Von,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,78
165,ARTY,Who Am I (Mixed),1gVDOnfkdaPI6d6JkQUvNl,38
166,Ty Dolla $ign,Spicy (feat. Post Malone),5IUtvfNvOyVYZUa6AJFrnP,82
167,GXD,Sail (Mixed),2fNhqbI5wDYyqiHcYc0GZD,39
168,G Herbo,PTSD,3jT2LKH0RSbQ8jIUNFzXm5,79
169,Armin van Buuren,Let The Music Guide You (ASOT 950 Anthem) [Mixed] - Beatsole Remix,5HluQkQ3fy3yXqoAvZFNcX,39
